domain_name,category_name,test_type,difficulty,question_text
,,CODING,EASY,Reverse a string in-place.
,,CODING,EASY,Check if a number is a Palindrome.
,,CODING,EASY,Find the largest element in an array.
,,CODING,EASY,Find the second largest element in an array.
,,CODING,EASY,Move all zeroes to the end of an array.
,,CODING,EASY,Find the missing number in an array of 1 to N.
,,CODING,EASY,Check if two strings are Anagrams.
,,CODING,EASY,Find the first non-repeating character in a string.
,,CODING,EASY,Implement Binary Search.
,,CODING,EASY,Reverse a Linked List.
,,CODING,EASY,Detect a cycle in a Linked List.
,,CODING,EASY,Find the middle of a Linked List.
,,CODING,EASY,Merge two sorted Linked Lists.
,,CODING,EASY,Find the intersection of two arrays.
,,CODING,EASY,Check if a Binary Tree is Symmetric.
,,CODING,EASY,Find the height of a Binary Tree.
,,CODING,EASY,Implement a Stack using an Array.
,,CODING,EASY,Check for balanced parentheses in an expression.
,,CODING,EASY,Remove duplicates from a sorted array.
,,CODING,EASY,Count vowels and consonants in a string.
,,CODING,EASY,Find the GCD of two numbers.
,,CODING,EASY,Determine if a number is Prime.
,,CODING,EASY,Calculate the Nth Fibonacci number (Iterative).
,,CODING,EASY,Find the majority element in an array (Boyer-Moore).
,,CODING,EASY,Check if a number is an Armstrong number.
,,CODING,EASY,Search for an element in a 2D Matrix (Sorted).
,,CODING,EASY,Find the common elements in three sorted arrays.
,,CODING,EASY,Implement a Queue using an Array.
,,CODING,EASY,Calculate the sum of all leaf nodes in a Binary Tree.
,,CODING,EASY,Check if a Binary Tree is a BST.
,,CODING,EASY,Reverse words in a given sentence.
,,CODING,EASY,Find the duplicate number in an array of N+1 integers.
,,CODING,EASY,Find the power of a number (x^n).
,,CODING,EASY,Convert a Roman numeral to an integer.
,,CODING,EASY,Find the pivot index of an array.
,,CODING,EASY,Square root of a number without using sqrt function.
,,CODING,EASY,Pascal's Triangle: Get the Nth row.
,,CODING,EASY,Check if a Linked List is a Palindrome.
,,CODING,EASY,Find the frequency of each element in an array.
,,CODING,EASY,Find the length of the last word in a string.
,,CODING,MEDIUM,Find the longest palindromic substring.
,,CODING,MEDIUM,Find the maximum subarray sum (Kadane's Algorithm).
,,CODING,MEDIUM,Kth largest element in an unsorted array.
,,CODING,MEDIUM,Merge overlapping intervals.
,,CODING,MEDIUM,Search in a rotated sorted array.
,,CODING,MEDIUM,Longest substring without repeating characters.
,,CODING,MEDIUM,Three sum problem: Find triplets that sum to zero.
,,CODING,MEDIUM,Container with most water.
,,CODING,MEDIUM,Find the lowest common ancestor in a Binary Tree.
,,CODING,MEDIUM,Clone a graph with N nodes.
,,CODING,MEDIUM,Implement a LRU Cache.
,,CODING,MEDIUM,Solve the 0/1 Knapsack problem.
,,CODING,MEDIUM,Find the length of the longest increasing subsequence.
,,CODING,MEDIUM,Course Schedule: Detect cycle in a directed graph.
,,CODING,MEDIUM,Number of Islands: Count connected components in a grid.
,,CODING,MEDIUM,Binary Tree Level Order Traversal.
,,CODING,MEDIUM,Generate all permutations of a string.
,,CODING,MEDIUM,Sort an array of 0s 1s and 2s (Dutch National Flag).
,,CODING,MEDIUM,Validate a Binary Search Tree.
,,CODING,MEDIUM,Find all anagrams in a string.
,,CODING,MEDIUM,Group Anagrams together.
,,CODING,MEDIUM,Implement a Trie (Prefix Tree).
,,CODING,MEDIUM,Daily Temperatures: Find next warmer day using a stack.
