domain_name,category_name,test_type,difficulty,question_text
React,Frontend,TECHNICAL,EASY,What is JSX in React?
React,Frontend,TECHNICAL,EASY,What are React components?
React,Frontend,TECHNICAL,EASY,What is the difference between class and functional components?
React,Frontend,TECHNICAL,EASY,What are props in React?
React,Frontend,TECHNICAL,EASY,What is state in React?
React,Frontend,TECHNICAL,EASY,What is the virtual DOM?
React,Frontend,TECHNICAL,EASY,How do you create a React app using create-react-app?
React,Frontend,TECHNICAL,EASY,What is the purpose of key prop in React lists?
React,Frontend,TECHNICAL,EASY,What are React Hooks?
React,Frontend,TECHNICAL,EASY,What is the useState hook used for?
React,Frontend,TECHNICAL,EASY,How do you handle events in React?
React,Frontend,TECHNICAL,EASY,What is conditional rendering in React?
React,Frontend,TECHNICAL,EASY,What is the difference between controlled and uncontrolled components?
React,Frontend,TECHNICAL,EASY,What is React Fragment?
React,Frontend,TECHNICAL,EASY,How do you pass data from parent to child component?
React,Frontend,TECHNICAL,MEDIUM,Explain the useEffect hook and its use cases.
React,Frontend,TECHNICAL,MEDIUM,What is the difference between useEffect and useLayoutEffect?
React,Frontend,TECHNICAL,MEDIUM,How does React's reconciliation algorithm work?
React,Frontend,TECHNICAL,MEDIUM,What are Higher Order Components (HOC)?
React,Frontend,TECHNICAL,MEDIUM,Explain the Context API and when to use it.
React,Frontend,TECHNICAL,MEDIUM,What is the useReducer hook and when would you use it over useState?
React,Frontend,TECHNICAL,MEDIUM,How do you optimize React application performance?
React,Frontend,TECHNICAL,MEDIUM,What is React.memo and when should you use it?
React,Frontend,TECHNICAL,MEDIUM,Explain the useCallback and useMemo hooks.
React,Frontend,TECHNICAL,MEDIUM,What are custom hooks and how do you create them?
React,Frontend,TECHNICAL,MEDIUM,How do you handle forms in React?
React,Frontend,TECHNICAL,MEDIUM,What is prop drilling and how can you avoid it?
React,Frontend,TECHNICAL,MEDIUM,Explain the component lifecycle methods in class components.
React,Frontend,TECHNICAL,MEDIUM,What is code splitting in React and how do you implement it?
React,Frontend,TECHNICAL,MEDIUM,How do you implement routing in React applications?
React,Frontend,TECHNICAL,MEDIUM,What are portals in React?
React,Frontend,TECHNICAL,MEDIUM,Explain error boundaries in React.
React,Frontend,TECHNICAL,MEDIUM,What is the difference between React.createElement and JSX?
React,Frontend,TECHNICAL,MEDIUM,How do you handle side effects in functional components?
React,Frontend,TECHNICAL,MEDIUM,What are refs and when would you use them?
React,Frontend,TECHNICAL,HARD,Explain the Fiber architecture in React.
React,Frontend,TECHNICAL,HARD,How does React's Concurrent Mode work?
React,Frontend,TECHNICAL,HARD,Implement a custom hook for debouncing user input.
React,Frontend,TECHNICAL,HARD,How would you implement server-side rendering with React?
React,Frontend,TECHNICAL,HARD,Explain React's batching mechanism and automatic batching in React 18.
React,Frontend,TECHNICAL,HARD,How do you implement virtual scrolling for large lists in React?
React,Frontend,TECHNICAL,HARD,What are the performance implications of using Context API and how would you optimize it?
React,Frontend,TECHNICAL,HARD,Explain the differences between client-side and server-side rendering and their trade-offs.
React,Frontend,TECHNICAL,HARD,How would you implement a complex state management solution without external libraries?
React,Frontend,TECHNICAL,HARD,Explain React's hydration process and common pitfalls.
React,Frontend,TECHNICAL,HARD,How do you handle memory leaks in React applications?
React,Frontend,TECHNICAL,HARD,Implement a render prop pattern and compare it with hooks.
React,Frontend,TECHNICAL,HARD,How would you build a micro-frontend architecture using React?
React,Frontend,TECHNICAL,HARD,Explain the internals of useState and how React maintains state.
React,Frontend,TECHNICAL,HARD,How do you implement optimistic UI updates in React applications?
React,Frontend,CODING,EASY,Create a functional component that displays Hello World.
React,Frontend,CODING,EASY,Create a counter component with increment and decrement buttons.
React,Frontend,CODING,EASY,Build a component that toggles between showing and hiding text.
React,Frontend,CODING,EASY,Create a controlled input component that displays the typed text below it.
React,Frontend,CODING,EASY,Build a component that renders a list of items from an array.
React,Frontend,CODING,EASY,Create a button that changes its background color when clicked.
React,Frontend,CODING,EASY,Build a simple greeting component that accepts a name prop.
React,Frontend,CODING,EASY,Create a component with conditional rendering based on a boolean state.
React,Frontend,CODING,EASY,Build a simple todo list where users can add items.
React,Frontend,CODING,EASY,Create a component that displays current date and time.
React,Frontend,CODING,MEDIUM,Build a todo list with add delete and mark complete functionality.
React,Frontend,CODING,MEDIUM,Create a form with validation for email and password fields.
React,Frontend,CODING,MEDIUM,Implement a search filter component for a list of items.
React,Frontend,CODING,MEDIUM,Build a pagination component for displaying data in pages.
React,Frontend,CODING,MEDIUM,Create a modal component that can be opened and closed.
React,Frontend,CODING,MEDIUM,Implement a custom hook for fetching data from an API.
React,Frontend,CODING,MEDIUM,Build a tabs component with multiple tab panels.
React,Frontend,CODING,MEDIUM,Create an accordion component with expandable sections.
React,Frontend,CODING,MEDIUM,Implement a drag and drop list using React.
React,Frontend,CODING,MEDIUM,Build a multi-step form with progress indicator.
React,Frontend,CODING,MEDIUM,Create a debounced search input component.
React,Frontend,CODING,MEDIUM,Implement a infinite scroll component.
React,Frontend,CODING,MEDIUM,Build a shopping cart with add remove and quantity update features.
React,Frontend,CODING,MEDIUM,Create a theme switcher component with light and dark modes.
React,Frontend,CODING,MEDIUM,Implement a custom dropdown select component.
React,Frontend,CODING,HARD,Build a complex form builder with dynamic field generation.
React,Frontend,CODING,HARD,Implement a virtual scrolling list for rendering 10000+ items efficiently.
React,Frontend,CODING,HARD,Create a real-time collaborative text editor using React.
React,Frontend,CODING,HARD,Build a Kanban board with drag and drop between columns.
React,Frontend,CODING,HARD,Implement a calendar component with event scheduling.
React,Frontend,CODING,HARD,Create a data table with sorting filtering and pagination.
React,Frontend,CODING,HARD,Build a file upload component with progress tracking and preview.
React,Frontend,CODING,HARD,Implement a nested comment system with replies.
React,Frontend,CODING,HARD,Create a chart component that visualizes data dynamically.
React,Frontend,CODING,HARD,Build a form with complex validation rules and error handling.
React,Frontend,CODING,HARD,Implement a real-time notification system.
React,Frontend,CODING,HARD,Create a responsive image gallery with lazy loading.
React,Frontend,CODING,HARD,Build a custom state management solution similar to Redux.
React,Frontend,CODING,HARD,Implement a code editor with syntax highlighting using React.
React,Frontend,CODING,HARD,Create a chat application with real-time messaging.
React,Frontend,HR,EASY,Tell me about yourself and your experience with React.
React,Frontend,HR,EASY,Why do you want to work as a React developer?
React,Frontend,HR,EASY,What interests you about frontend development?
React,Frontend,HR,EASY,How do you stay updated with React and frontend technologies?
React,Frontend,HR,EASY,Describe a React project you have worked on.
React,Frontend,HR,EASY,What do you find most challenging about React development?
React,Frontend,HR,EASY,How do you handle tight deadlines in development projects?
React,Frontend,HR,EASY,What is your preferred development environment and tools?
React,Frontend,HR,EASY,How do you approach learning new React features or libraries?
React,Frontend,HR,EASY,What motivates you as a frontend developer?
React,Frontend,HR,MEDIUM,Describe a challenging bug you encountered in React and how you resolved it.
React,Frontend,HR,MEDIUM,How do you handle disagreements with team members about technical decisions?
React,Frontend,HR,MEDIUM,Tell me about a time you had to optimize a React application for performance.
React,Frontend,HR,MEDIUM,How do you balance between writing perfect code and meeting deadlines?
React,Frontend,HR,MEDIUM,Describe your experience working in an Agile development environment.
React,Frontend,HR,MEDIUM,How do you ensure code quality and maintainability in React projects?
React,Frontend,HR,MEDIUM,Tell me about a time you had to learn a new technology quickly for a project.
React,Frontend,HR,MEDIUM,How do you approach code reviews as both reviewer and reviewee?
React,Frontend,HR,MEDIUM,Describe a situation where you improved the user experience of an application.
React,Frontend,HR,MEDIUM,How do you prioritize tasks when working on multiple features?
React,Frontend,HR,MEDIUM,Tell me about a time you mentored a junior developer.
React,Frontend,HR,MEDIUM,How do you handle technical debt in React projects?
React,Frontend,HR,MEDIUM,Describe your experience with testing React applications.
React,Frontend,HR,MEDIUM,How do you communicate technical concepts to non-technical stakeholders?
React,Frontend,HR,MEDIUM,Tell me about a project that failed and what you learned from it.
React,Frontend,HR,HARD,Describe a situation where you had to make a critical architectural decision for a React application.
React,Frontend,HR,HARD,How would you handle a situation where your technical recommendation was overridden by management?
React,Frontend,HR,HARD,Tell me about a time you had to refactor a large legacy React codebase.
React,Frontend,HR,HARD,How do you approach building scalable React applications for enterprise use?
React,Frontend,HR,HARD,Describe a situation where you had to balance innovation with stability.
React,Frontend,HR,HARD,How would you handle conflicting priorities from multiple stakeholders?
React,Frontend,HR,HARD,Tell me about a time you identified and solved a critical performance bottleneck.
React,Frontend,HR,HARD,How do you foster a culture of quality and best practices in your team?
React,Frontend,HR,HARD,Describe your approach to technical leadership in frontend development.
React,Frontend,HR,HARD,How would you handle a situation where a project is significantly behind schedule?
Vue,Frontend,TECHNICAL,EASY,What is Vue.js and what are its core features?
Vue,Frontend,TECHNICAL,EASY,What is the Vue instance?
Vue,Frontend,TECHNICAL,EASY,What are directives in Vue?
Vue,Frontend,TECHNICAL,EASY,What is v-model directive used for?
Vue,Frontend,TECHNICAL,EASY,What is the difference between v-show and v-if?
Vue,Frontend,TECHNICAL,EASY,How do you bind attributes in Vue?
Vue,Frontend,TECHNICAL,EASY,What are computed properties in Vue?
Vue,Frontend,TECHNICAL,EASY,What is data binding in Vue?
Vue,Frontend,TECHNICAL,EASY,How do you handle events in Vue?
Vue,Frontend,TECHNICAL,EASY,What is a Vue component?
Vue,Frontend,TECHNICAL,EASY,What is the purpose of the template tag in Vue?
Vue,Frontend,TECHNICAL,EASY,How do you pass data from parent to child component in Vue?
Vue,Frontend,TECHNICAL,EASY,What is props in Vue?
Vue,Frontend,TECHNICAL,EASY,What is v-for directive used for?
Vue,Frontend,TECHNICAL,EASY,What is the Vue CLI?
Vue,Frontend,TECHNICAL,MEDIUM,Explain the Vue component lifecycle hooks.
Vue,Frontend,TECHNICAL,MEDIUM,What is the difference between computed properties and methods?
