domain_id,test_type,difficulty,question_text,question_format,options,correct_option,explanation
,APTITUDE,EASY,If 5 workers build 5 walls in 5 days how many days will 10 workers take to build 10 walls?,MCQ,"[""5 days"",""10 days"",""2.5 days"",""1 day""]",0,Work scales proportionally so still 5 days
,APTITUDE,EASY,What is 15% of 200?,MCQ,"[""30"",""25"",""35"",""20""]",0,15% of 200 = 15/100 × 200 = 30
,APTITUDE,EASY,If a train travels 60 km in 1 hour what is its speed?,MCQ,"[""60 km/h"",""30 km/h"",""120 km/h"",""90 km/h""]",0,Speed = distance/time = 60/1 = 60 km/h
,APTITUDE,EASY,Find the next number: 2 4 6 8 ?,MCQ,"[""10"",""12"",""9"",""11""]",0,Pattern increases by 2
,APTITUDE,EASY,What is the average of 10 20 30 and 40?,MCQ,"[""25"",""20"",""30"",""15""]",0,Average = (10+20+30+40)/4 = 100/4 = 25
,APTITUDE,EASY,If 5 pens cost Rs 50 what is the cost of 3 pens?,MCQ,"[""Rs 30"",""Rs 25"",""Rs 35"",""Rs 40""]",0,Cost per pen = 50/5 = 10 so 3 pens = 30
,APTITUDE,EASY,Simplify: 5 + 3 × 2,MCQ,"[""11"",""16"",""13"",""10""]",0,BODMAS: 3×2=6 then 5+6=11
,APTITUDE,EASY,What is 25% of 80?,MCQ,"[""20"",""15"",""25"",""30""]",0,25% of 80 = 25/100 × 80 = 20
,APTITUDE,EASY,If A is taller than B and B is taller than C who is shortest?,MCQ,"[""C"",""B"",""A"",""Cannot determine""]",0,C is shorter than B who is shorter than A
,APTITUDE,EASY,A clock shows 3:15. What is the angle between hour and minute hands?,MCQ,"[""7.5 degrees"",""15 degrees"",""22.5 degrees"",""30 degrees""]",0,Hour hand at 97.5° minute hand at 90° difference is 7.5°
,APTITUDE,EASY,What comes next: 1 4 9 16 ?,MCQ,"[""25"",""20"",""36"",""30""]",0,Perfect squares: 1² 2² 3² 4² 5²=25
,APTITUDE,EASY,If x + 5 = 12 what is x?,MCQ,"[""7"",""6"",""8"",""5""]",0,x = 12 - 5 = 7
,APTITUDE,EASY,What is 10% of 500?,MCQ,"[""50"",""40"",""60"",""45""]",0,10% of 500 = 500/10 = 50
,APTITUDE,EASY,How many sides does a hexagon have?,MCQ,"[""6"",""5"",""7"",""8""]",0,A hexagon has 6 sides
,APTITUDE,EASY,What is 3 squared?,MCQ,"[""9"",""6"",""12"",""27""]",0,3² = 3 × 3 = 9
,APTITUDE,EASY,If 2x = 10 what is x?,MCQ,"[""5"",""4"",""6"",""3""]",0,x = 10/2 = 5
,APTITUDE,EASY,What is the sum of angles in a triangle?,MCQ,"[""180 degrees"",""360 degrees"",""90 degrees"",""270 degrees""]",0,Sum of angles in triangle is always 180°
,APTITUDE,EASY,What is 20% of 100?,MCQ,"[""20"",""25"",""15"",""30""]",0,20% of 100 = 20/100 × 100 = 20
,APTITUDE,EASY,If 1 dozen = 12 how many items in 3 dozen?,MCQ,"[""36"",""24"",""48"",""30""]",0,3 × 12 = 36
,APTITUDE,EASY,What is the next prime after 7?,MCQ,"[""11"",""9"",""10"",""13""]",0,11 is the next prime number after 7
,APTITUDE,EASY,What is 50% of 60?,MCQ,"[""30"",""25"",""35"",""20""]",0,50% of 60 = 60/2 = 30
,APTITUDE,EASY,How many minutes in 2 hours?,MCQ,"[""120"",""100"",""140"",""110""]",0,2 hours × 60 minutes = 120 minutes
,APTITUDE,EASY,What is 8 × 7?,MCQ,"[""56"",""54"",""63"",""49""]",0,8 × 7 = 56
,APTITUDE,EASY,If a = 2 and b = 3 what is a + b?,MCQ,"[""5"",""6"",""4"",""7""]",0,2 + 3 = 5
,APTITUDE,EASY,What is the square root of 64?,MCQ,"[""8"",""7"",""9"",""6""]",0,√64 = 8
,APTITUDE,EASY,How many days in a leap year?,MCQ,"[""366"",""365"",""364"",""367""]",0,Leap year has 366 days
,APTITUDE,EASY,What is 100 - 37?,MCQ,"[""63"",""73"",""53"",""67""]",0,100 - 37 = 63
,APTITUDE,EASY,If 4 + x = 9 what is x?,MCQ,"[""5"",""4"",""6"",""3""]",0,x = 9 - 4 = 5
,APTITUDE,EASY,What is 5 × 6?,MCQ,"[""30"",""25"",""35"",""40""]",0,5 × 6 = 30
,APTITUDE,EASY,How many hours in a day?,MCQ,"[""24"",""12"",""48"",""36""]",0,One day has 24 hours
,APTITUDE,EASY,What is 75% of 40?,MCQ,"[""30"",""25"",""35"",""20""]",0,75% of 40 = 75/100 × 40 = 30
,APTITUDE,EASY,What comes next: 5 10 15 20 ?,MCQ,"[""25"",""30"",""22"",""35""]",0,Pattern increases by 5
,APTITUDE,EASY,If 3x = 15 what is x?,MCQ,"[""5"",""4"",""6"",""3""]",0,x = 15/3 = 5
,APTITUDE,EASY,What is 12 + 8?,MCQ,"[""20"",""18"",""22"",""19""]",0,12 + 8 = 20
,APTITUDE,EASY,How many cents in a dollar?,MCQ,"[""100"",""50"",""25"",""10""]",0,One dollar equals 100 cents
,APTITUDE,EASY,What is 9 × 4?,MCQ,"[""36"",""32"",""40"",""35""]",0,9 × 4 = 36
,APTITUDE,EASY,If y - 3 = 7 what is y?,MCQ,"[""10"",""9"",""11"",""4""]",0,y = 7 + 3 = 10
,APTITUDE,EASY,What is 40% of 50?,MCQ,"[""20"",""15"",""25"",""30""]",0,40% of 50 = 40/100 × 50 = 20
,APTITUDE,EASY,How many edges does a cube have?,MCQ,"[""12"",""8"",""6"",""10""]",0,A cube has 12 edges
,APTITUDE,EASY,What is 15 - 8?,MCQ,"[""7"",""6"",""8"",""9""]",0,15 - 8 = 7
,APTITUDE,EASY,If 5 apples cost Rs 25 what is cost per apple?,MCQ,"[""Rs 5"",""Rs 4"",""Rs 6"",""Rs 3""]",0,Cost per apple = 25/5 = 5
,APTITUDE,EASY,What is 6 × 8?,MCQ,"[""48"",""42"",""54"",""56""]",0,6 × 8 = 48
,APTITUDE,EASY,What comes next: 3 6 9 12 ?,MCQ,"[""15"",""18"",""14"",""16""]",0,Pattern increases by 3
,APTITUDE,EASY,What is 90% of 100?,MCQ,"[""90"",""80"",""95"",""85""]",0,90% of 100 = 90/100 × 100 = 90
,APTITUDE,EASY,If x/2 = 8 what is x?,MCQ,"[""16"",""14"",""18"",""12""]",0,x = 8 × 2 = 16
,APTITUDE,EASY,What is 7 + 9?,MCQ,"[""16"",""15"",""17"",""18""]",0,7 + 9 = 16
,APTITUDE,EASY,How many weeks in a year?,MCQ,"[""52"",""50"",""48"",""54""]",0,One year has approximately 52 weeks
,APTITUDE,EASY,What is 11 × 3?,MCQ,"[""33"",""30"",""36"",""39""]",0,11 × 3 = 33
,APTITUDE,EASY,What is half of 50?,MCQ,"[""25"",""20"",""30"",""15""]",0,50/2 = 25
,APTITUDE,EASY,If 2 + x = 5 what is x?,MCQ,"[""3"",""2"",""4"",""5""]",0,x = 5 - 2 = 3
,APTITUDE,MEDIUM,A can complete work in 12 days B in 18 days. How many days together?,MCQ,"[""7.2 days"",""8 days"",""6 days"",""9 days""]",0,1/12+1/18=5/36 so 36/5=7.2 days
,APTITUDE,MEDIUM,Ages of A and B are in ratio 3:5. Sum is 40. What is B's age?,MCQ,"[""25"",""20"",""30"",""15""]",0,Let 3x+5x=40 so 8x=40 x=5 B=5×5=25
,APTITUDE,MEDIUM,A train 100m long crosses pole in 10 seconds. What is speed?,MCQ,"[""10 m/s"",""20 m/s"",""15 m/s"",""5 m/s""]",0,Speed = distance/time = 100/10 = 10 m/s
,APTITUDE,MEDIUM,Find compound interest on Rs 10000 at 10% for 2 years.,MCQ,"[""Rs 2100"",""Rs 2000"",""Rs 2200"",""Rs 1900""]",0,CI = 10000(1.1)²-10000 = 12100-10000 = 2100
,APTITUDE,MEDIUM,In how many ways can 5 people be arranged in a row?,MCQ,"[""120"",""100"",""60"",""24""]",0,5! = 5×4×3×2×1 = 120
,APTITUDE,MEDIUM,Price increases 20% then decreases 20%. Net change?,MCQ,"[""4% decrease"",""No change"",""4% increase"",""8% decrease""]",0,After both changes: 100→120→96 so 4% decrease
,APTITUDE,MEDIUM,Bag has 5 red 7 blue balls. Probability of red ball?,MCQ,"[""5/12"",""7/12"",""1/2"",""5/7""]",0,P(red) = 5/(5+7) = 5/12
,APTITUDE,MEDIUM,Three consecutive odd numbers sum to 63. Find largest.,MCQ,"[""23"",""21"",""25"",""19""]",0,Let x+x+2+x+4=63 so 3x+6=63 x=19 largest=23
,APTITUDE,MEDIUM,Shopkeeper marks 40% up gives 25% discount. Profit %?,MCQ,"[""5%"",""10%"",""15%"",""0%""]",0,Let CP=100 MP=140 SP=140×0.75=105 profit=5%
